MeanIPD,OfferedLoad,QueueCap,AvgQueue,LossRate,Delay,Throughput
0.001,8, 50, 47.6884, 39.4926, 100.832, 4.82036
0.0012,6.66667, 50, 47.0988, 27.1849, 99.0918, 4.82009
0.0014,5.71429, 50, 45.6999, 14.9865, 96.5258, 4.81981
0.0016,5, 50, 37.9701, 3.06246, 83.3255, 4.81707
0.0018,4.44444, 50, 3.56976, 0, 25.2293, 4.41218
0.002,4, 50, 1.495, 0, 21.6193, 3.97603
0.0022,3.63636, 50, 0.853436, 0, 20.4392, 3.61225
0.0024,3.33333, 50, 0.574538, 0, 19.8989, 3.31071
0.0026,3.07692, 50, 0.412366, 0, 19.564, 3.0533
0.0028,2.85714, 50, 0.316893, 0, 19.3551, 2.84057
0.003,2.66667, 50, 0.250343, 0, 19.2009, 2.65443
0.0032,2.5, 50, 0.200492, 0, 19.0775, 2.48502
0.0034,2.35294, 50, 0.168201, 0, 18.9958, 2.34795
0.0036,2.22222, 50, 0.144454, 0, 18.9342, 2.22103
0.0038,2.10526, 50, 0.124408, 0, 18.8805, 2.09876
0.004,2, 50, 0.109698, 0, 18.8384, 1.99898
0.0042,1.90476, 50, 0.0945078, 0, 18.7891, 1.89892
0.0044,1.81818, 50, 0.083826, 0, 18.7555, 1.80818
0.0046,1.73913, 50, 0.0740029, 0, 18.7228, 1.72512
0.0048,1.66667, 50, 0.0659062, 0, 18.6939, 1.65083
0.005,1.6, 50, 0.0594668, 0, 18.6692, 1.58696
0.00133,6.01504, 5, 3.43944, 20.3897, 24.659, 4.76608
0.00133,6.01504, 10, 8.02317, 19.5115, 32.4171, 4.81735
0.00133,6.01504, 20, 17.6546, 19.4246, 48.8248, 4.81981
0.00133,6.01504, 50, 46.3942, 19.2874, 97.7463, 4.81981
0.00133,6.01504, 100, 93.9277, 19.0587, 178.47, 4.81981
0.00133,6.01504, 200, 187.481, 18.6014, 336.632, 4.81981
